StationCode,Name,Lat,Lon,WebSite,RawData,FileName,From,To
822,Baardwijk,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=822,https://climexp.knmi.nl/data/rrrr822.dat,rrrr822.data,19101201,19130904
900,Bakel (de Rips),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=900,https://climexp.knmi.nl/data/rrrr900.dat,rrrr900.data,19000325,19540131
232,Bakkum,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=232,https://climexp.knmi.nl/data/rrrr232.dat,rrrr232.data,19180801,19580101
294,Balinge,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=294,https://climexp.knmi.nl/data/rrrr294.dat,rrrr294.data,18911001,19050430
083,Balk,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=083,https://climexp.knmi.nl/data/rrrr083.dat,rrrr083.data,19500307,19560628
461,Barendrecht,51.85,4.53,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=461,https://climexp.knmi.nl/data/rrrr461.dat,rrrr461.data,18731202,20230310
580,Barneveld,52.13,5.57,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=580,https://climexp.knmi.nl/data/rrrr580.dat,rrrr580.data,19500102,20230310
708,Bath,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=708,https://climexp.knmi.nl/data/rrrr708.dat,rrrr708.data,18680701,18731130
658,Bathmen,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=658,https://climexp.knmi.nl/data/rrrr658.dat,rrrr658.data,19180727,19440301
973,Beek,50.92,5.8,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=973,https://climexp.knmi.nl/data/rrrr973.dat,rrrr973.data,19460104,20230310
573,Beekbergen,52.15,5.95,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=573,https://climexp.knmi.nl/data/rrrr573.dat,rrrr573.data,18731202,20230310
977,Beesel,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=977,https://climexp.knmi.nl/data/rrrr977.dat,rrrr977.data,19510101,19950101
048,Beetsterzwaag,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=048,https://climexp.knmi.nl/data/rrrr048.dat,rrrr048.data,18950101,19250630
659,Beltrum,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=659,https://climexp.knmi.nl/data/rrrr659.dat,rrrr659.data,19190801,19241231
241,Bemmelenhoeve van Prof.,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=241,https://climexp.knmi.nl/data/rrrr241.dat,rrrr241.data,19340601,19531231
460,Bennebroek,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=460,https://climexp.knmi.nl/data/rrrr460.dat,rrrr460.data,19350402,19581008
561,Benschop,52,4.93,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=561,https://climexp.knmi.nl/data/rrrr561.dat,rrrr561.data,19101202,20230310
887,Bergeijk,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=887,https://climexp.knmi.nl/data/rrrr887.dat,rrrr887.data,19410920,19501201
889,Bergen,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=889,https://climexp.knmi.nl/data/rrrr889.dat,rrrr889.data,19421001,19490701
234,Bergen Nh,52.67,4.68,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=234,https://climexp.knmi.nl/data/rrrr234.dat,rrrr234.data,19270618,20230310
832,Bergen op Zoom,51.5,4.25,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=832,https://climexp.knmi.nl/data/rrrr832.dat,rrrr832.data,19040102,20230310
453,Bergschenhoek,51.97,4.48,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=453,https://climexp.knmi.nl/data/rrrr453.dat,rrrr453.data,19081202,20230310
087,Bergumerdam,53.17,6,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=087,https://climexp.knmi.nl/data/rrrr087.dat,rrrr087.data,19520601,20230310
210,Beverwijk,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=210,https://climexp.knmi.nl/data/rrrr210.dat,rrrr210.data,19660101,20060301
366,Biddinghuizen,52.45,5.68,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=366,https://climexp.knmi.nl/data/rrrr366.dat,rrrr366.data,19610101,20230310
170,Bierum,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=170,https://climexp.knmi.nl/data/rrrr170.dat,rrrr170.data,19610101,19910102
738,Biervliet,51.32,3.68,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=738,https://climexp.knmi.nl/data/rrrr738.dat,rrrr738.data,18790902,20230310
321,Bijsselse Beek,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=321,https://climexp.knmi.nl/data/rrrr321.dat,rrrr321.data,19481101,19500621
891,Bladel,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=891,https://climexp.knmi.nl/data/rrrr891.dat,rrrr891.data,19440101,19490531
895,Blerick,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=895,https://climexp.knmi.nl/data/rrrr895.dat,rrrr895.data,19510701,19530531
173,Blijham,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=173,https://climexp.knmi.nl/data/rrrr173.dat,rrrr173.data,20180201,20230310
353,Blokzijl,52.72,5.95,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=353,https://climexp.knmi.nl/data/rrrr353.dat,rrrr353.data,19510101,20230310
417,Bodegraven,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=417,https://climexp.knmi.nl/data/rrrr417.dat,rrrr417.data,19080101,19240831
055,Boornbergum Fr,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=055,https://climexp.knmi.nl/data/rrrr055.dat,rrrr055.data,19300902,19511130
669,Borculo,52.08,6.52,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=669,https://climexp.knmi.nl/data/rrrr669.dat,rrrr669.data,18900802,20230310
138,Borger,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=138,https://climexp.knmi.nl/data/rrrr138.dat,rrrr138.data,19500221,19530410
648,Borne,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=648,https://climexp.knmi.nl/data/rrrr648.dat,rrrr648.data,18670201,19320531
726,Borssele,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=726,https://climexp.knmi.nl/data/rrrr726.dat,rrrr726.data,19120901,19151231
442,Boskoop,52.07,4.68,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=442,https://climexp.knmi.nl/data/rrrr442.dat,rrrr442.data,18811002,20230310
199,Bovenkarspel,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=199,https://climexp.knmi.nl/data/rrrr199.dat,rrrr199.data,18731201,18920131
907,Boxtel,51.57,5.33,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=907,https://climexp.knmi.nl/data/rrrr907.dat,rrrr907.data,19200602,20230310
916,Boxtel,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=916,https://climexp.knmi.nl/data/rrrr916.dat,rrrr916.data,19500402,19570608
810,Breda (Ii E18),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=810,https://climexp.knmi.nl/data/rrrr810.dat,rrrr810.data,18660801,19050331
811,Breda (Iii E18),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=811,https://climexp.knmi.nl/data/rrrr811.dat,rrrr811.data,19040601,19240712
008,Breezand,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=008,https://climexp.knmi.nl/data/rrrr008.dat,rrrr008.data,19370501,19400501
705,Breskens,51.38,3.53,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=705,https://climexp.knmi.nl/data/rrrr705.dat,rrrr705.data,19610101,20230310
712,Breskens (Oud),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=712,https://climexp.knmi.nl/data/rrrr712.dat,rrrr712.data,18790902,19290227
464,Brielle,51.9,4.15,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=464,https://climexp.knmi.nl/data/rrrr464.dat,rrrr464.data,19431002,20230310
208,Broek op Langedijk,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=208,https://climexp.knmi.nl/data/rrrr208.dat,rrrr208.data,19170101,19270731
736,Brouwershaven,51.73,3.88,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=736,https://climexp.knmi.nl/data/rrrr736.dat,rrrr736.data,18731202,20230310
725,Bruinisse,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=725,https://climexp.knmi.nl/data/rrrr725.dat,rrrr725.data,19050722,19191130
974,Buchten,51.03,5.8,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=974,https://climexp.knmi.nl/data/rrrr974.dat,rrrr974.data,19480902,20230310
978,Budel,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=978,https://climexp.knmi.nl/data/rrrr978.dat,rrrr978.data,19440601,19490615
129,Buinerveen,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=129,https://climexp.knmi.nl/data/rrrr129.dat,rrrr129.data,19231215,19410301
521,Buren (Betuwe),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=521,https://climexp.knmi.nl/data/rrrr521.dat,rrrr521.data,18880402,19000131
556,Bussum,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=556,https://climexp.knmi.nl/data/rrrr556.dat,rrrr556.data,19051102,19950102
730,Cadzand,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=730,https://climexp.knmi.nl/data/rrrr730.dat,rrrr730.data,19310425,19510101
763,Cadzand,51.37,3.4,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=763,https://climexp.knmi.nl/data/rrrr763.dat,rrrr763.data,19510101,20230310
021,Callantsoog,52.85,4.7,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=021,https://climexp.knmi.nl/data/rrrr021.dat,rrrr021.data,19401001,20230310
844,Capelle Nb,51.67,4.98,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=844,https://climexp.knmi.nl/data/rrrr844.dat,rrrr844.data,19510101,20230310
